№,Oyuncu,Takım,Index,Oynadığı süre,Pozisyon,Gol,Gol pasları,Gollük hatalar,Mistakes,"Gol pozisyonları, başarılı","Chances successful, %",Gol Pozisyonları,Gol hücumlarında oyun,Şut,İsabetli Şut,Sarı Kartlar,Kırmızı Kartlar,Faul,Yapılan Fauller,Paslar,"Paslar adresi bulanlar, %",Kilit Pas,"Key passes accurate, %",Orta,"İsabetli ortalar, %",Progressive passes,"Progressive passes accurate, %",Progressive open passes,Uzun paslar,"Uzun paslar, isabetli, %",Super long passes,"Super long passes accurate, %",Passes forward (120 degrees) to the final third,"Passes forward (120 degrees) to the final third accurate, %",Ceza sahasına orta,"Passes into the penalty box accurate, %",Passes for a shot,İkili mücadeleler,Başarılı ikili mücadele %,Savunmada ikili mücadeleler,"Savunmada kazanılan ikili mücadele, %",Hücumda ikili mücadeleler,"Hücumda başarılı ikili mücadele, %",Havada Hamleler,"Başarılı hava topu mücadelesi, %",Driplingler,"Başarılı driplingleri, %",Dribbling in the final third,"Dribbling in the final third successful, %",Top Kapma,"Başarılı Top Kapma, %",Pas Arası,Sahipsiz top kapma,xG,Tüm Hareketler,Actions successful,"Actions successful, %",Başarısız eylemler,Rakip ceza sahasında hareketler,Actions in opponent box successful,"Actions in opponent box successful, %","Shots on target, %",İsabetsiz Şutlar,Engellenen Şutlar,Header,Direkten dönen şutlar,Final third entries,Final third entries through pass,"Final third entries through pass, % of total",Final third entries through carry,"Final third entries through carry, % of total",Top kayıpları,Top kayıpları / kendi yarı sahasında,Lost balls after passes,Bireysel top kayıpları,Challenges unsuccessful,Dribbles unsuccessful,Kötü top kontrolü,Ofsaytlar,Ball recoveries,Rakip sahada geri kazanılan toplar,Driplingler,Paslar adresi bulanlar,Key passes accurate,Crosses accurate,Progressive passes accurate,Uzun paslar - isabetli,Super long passes accurate,Passes forward (120 degrees) to the final third accurate,Ceza sahasına / İsabetli,Challenges won,Savunmada başarılı ikili mücadeleler,Hücumda ikili mücadele / Başarılı,Başarılı hava topu mücadeleleri,Başarılı driplingler,Dribbling in the final third successful,Başarılı Top Kapma,xA,Şut başına xG,Gol başına xG,xG dönüştürme,Pozisyonlar,xGT,xGOPP,NxG,xGD,xGDPS
47,Ricardo Esgaio,Fatih Karagümrük,164,94,RD,-,-,1,2,-,-,-,-,-,-,-,-,1,1,49,0.78,-,-,-,-,7,0.71,4,2,0.5,-,-,3,0.67,4,0.5,-,12,0.58,7,0.5700000000000001,5,0.6,2,0,-,-,-,-,3,1,6,5,-,73,56,0.77,17,-,-,-,-,-,-,-,-,1,1,1,-,0,8,2,5,3,5,-,1,1,5,1,-,38,-,-,5,1,-,2,2,7,4,3,-,-,-,3,-,-,-,-,-,0.79,1.44,-0.65,0.35,0.18
23,Sam Larsson,Fatih Karagümrük,163,78,RCF,-,-,-,-,-,-,-,-,-,-,-,-,1,-,39,0.79,1,0,-,-,10,0.6,6,1,1,-,-,8,0.5,1,1,-,15,0.6,5,0.8,10,0.5,3,0.33,6,0.67,3,0.67,2,0.5,2,4,-,65,50,0.77,15,3,2,0.67,-,-,-,-,-,4,4,1,-,0,7,1,2,5,6,2,1,1,3,1,4,31,-,-,6,1,-,4,1,9,4,5,1,4,2,1,-,-,-,-,-,0.56,1.34,-0.78,-,-
29,Jure Balkovec,Fatih Karagümrük,161,94,LCD,-,-,1,2,-,-,2,-,1,-,-,-,-,-,42,0.74,2,1,-,-,14,0.36,4,3,0.33,-,-,10,0.4,2,0.5,-,4,0.75,3,0.67,1,1,2,1,-,-,-,-,2,0.5,5,5,0.01,60,47,0.78,13,-,-,-,0,1,-,-,-,4,3,0.75,1,0.25,6,2,6,-,1,-,-,-,5,1,-,31,2,-,5,1,-,4,1,3,2,1,2,-,-,1,0.2,0.01,-,0,-,0.79,1.44,-0.65,0.25,0.13
15,Abdul Kader Moussa Kone,Fatih Karagümrük,160,16,LCF,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,1,0,1,0,-,-,1,0,-,-,1,0,-,-,0.03,4,2,0.5,2,1,1,1,1,-,-,-,-,-,-,-,-,-,2,-,-,2,2,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,0,-,0.23,0.1,0.13,-,-
6,Bartuğ Elmaz,Fatih Karagümrük,159,29,RCDM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,0.8,-,-,-,-,5,0.6,3,1,1,-,-,4,0.5,-,-,-,1,0,1,0,-,-,1,0,-,-,-,-,-,-,2,1,-,24,19,0.79,5,-,-,-,-,-,-,-,-,3,3,1,-,0,1,-,1,-,1,-,-,-,-,-,-,16,-,-,3,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37,0.19,0.18,0.06,0.06
17,Ahmet Sivri,Fatih Karagümrük,158,29,RM,-,-,-,-,-,-,-,-,1,-,-,-,1,-,6,0.5,-,-,-,-,4,0.5,2,-,-,-,-,1,1,-,-,-,3,0,-,-,3,0,-,-,2,0,1,0,-,-,-,-,0.11,12,5,0.42,7,3,-,0,0,-,1,-,-,2,1,0.5,1,0.5,3,-,2,1,3,2,-,-,-,-,2,3,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,0.11,-,0,-,0.37,0.19,0.18,-,-
88,Ahmed Traore,Fatih Karagümrük,156,65,RM,-,-,-,-,-,-,-,-,1,-,-,-,-,1,16,0.81,-,-,-,-,2,0.5,1,-,-,-,-,3,0.67,-,-,-,14,0.14,4,0,10,0.2,2,0.5,1,0,1,0,2,0,1,3,0.11,36,20,0.56,16,4,1,0.25,0,-,1,-,-,3,2,0.67,1,0.33,5,-,1,4,12,1,-,1,1,1,1,13,-,-,1,-,-,2,-,2,-,2,1,-,-,-,0.03,0.11,-,0,-,0.42,1.25,-0.83,-,-
9,Mauro Icardi,Galatasaray,154,23,CF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,1,0,-,-,-,-,-,-,-,-,1,1,1,-,0,1,-,-,1,-,-,-,1,-,-,-,3,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.26,-0.16,-,-
21,Tiago Çukur,Fatih Karagümrük,151,29,RCF,-,-,-,-,-,0,-,-,2,-,-,-,-,-,10,0.8,-,-,2,0,2,1,2,-,-,-,-,1,1,3,0.33,1,4,0.25,-,-,4,0.25,-,-,-,-,-,-,-,-,-,1,0.23,17,10,0.59,7,1,-,0,0,2,-,-,-,1,1,1,-,0,2,-,-,2,3,-,-,1,-,-,-,8,-,-,2,-,-,1,1,1,-,1,-,-,-,-,0.14,0.12,-,0,1,0.37,0.19,0.18,-,-
20,Tarik Kalpakli,Fatih Karagümrük,-,8,LM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0.5,1,1,1,0,-,-,1,0,-,-,1,1,-,-,-,3,1,0.33,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,0.2,0.1,0.1,-,-
