team_raw,action,start,end,half,pos_x,pos_y,source_layer
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),91.55,103.55,1,60.51,64.49,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,91.55,103.55,1,60.51,64.49,(2)_timeline
Caykur Rizespor (62850),Faul,92.55,104.55,1,40.79,6.27,(2)_timeline
Galatasaray (29205),Rakibe Sarı Kartlar,92.55,104.55,1,41.03,6.14,(2)_timeline
Caykur Rizespor (62850),Sarı Kartlar,92.55,104.55,1,41.03,6.14,(2)_timeline
Galatasaray (29205),Yapılan Fauller,92.55,104.55,1,40.79,6.27,(2)_timeline
Galatasaray (29205),Başarısız Ceza Sahasına Paslar,141.55,153.55,1,67.91,64.62,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,141.55,153.55,1,67.91,64.62,(2)_timeline
Galatasaray (29205),Başarısız İlerletici Paslar,141.55,153.55,1,67.91,64.62,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),141.55,153.55,1,67.91,64.62,(2)_timeline
Galatasaray (29205),Top Kaybı,141.55,153.55,1,91.93,37.8,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,141.55,153.55,1,67.91,64.62,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,142.55,154.55,1,13.07,30.2,(2)_timeline
Caykur Rizespor (62850),Geri Kazanılan Toplar,142.55,154.55,1,13.07,30.2,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),142.55,154.55,1,13.07,30.2,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,142.55,154.55,1,13.07,30.2,(2)_timeline
Galatasaray (29205),Başarılı Top Kapma,144.55,156.55,1,31.59,20.73,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,144.55,156.55,1,31.59,20.73,(2)_timeline
Caykur Rizespor (62850),Başarısız Driplingler,144.55,156.55,1,31.59,20.73,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,144.55,156.55,1,31.59,20.73,(2)_timeline
Galatasaray (29205),Serbest Vuruş hücumları,145.55,150.55,1,67.91,64.62,(2)_timeline
Caykur Rizespor (62850),Kontra Ataklar,146.55,157.55,1,13.07,30.2,(2)_timeline
Caykur Rizespor (62850),Faul,149.55,161.55,1,63.85,21.13,(2)_timeline
Galatasaray (29205),Yapılan Fauller,149.55,161.55,1,63.85,21.13,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),165.55,177.55,1,34.58,26.75,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,165.55,177.55,1,34.58,26.75,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),167.55,179.55,1,37.8,14.66,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,167.55,179.55,1,37.8,14.66,(2)_timeline
Galatasaray (29205),Set Hücumları,169.55,201.55,1,34.58,26.75,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,172.55,184.55,1,32.78,24.39,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),172.55,184.55,1,32.78,24.39,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,172.55,184.55,1,32.78,24.39,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),178.55,190.55,1,48.68,49.5,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,178.55,190.55,1,48.68,49.5,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,181.55,193.55,1,46.53,22.15,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),181.55,193.55,1,46.53,22.15,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,181.55,193.55,1,46.53,22.15,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),184.55,196.55,1,61.7,13.87,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,184.55,196.55,1,61.7,13.87,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),186.55,198.55,1,65.52,4.8,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,186.55,198.55,1,65.52,4.8,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,188.55,200.55,1,69.23,11.5,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),188.55,200.55,1,69.23,11.5,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,188.55,200.55,1,69.23,11.5,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,188.55,200.55,1,69.23,11.5,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),189.55,201.55,1,81.18,4.27,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,189.55,201.55,1,81.18,4.27,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,191.55,203.55,1,82.61,9.4,(2)_timeline
