ID;start;end;code;action;half;pos_x;pos_y
187;199.55;211.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;56.92;16.37
188;199.55;211.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;56.92;16.37
189;199.55;211.55;Galatasaray (29205) - Rakip sahada geri kazanılan toplar;Rakip sahada geri kazanılan toplar;1;56.92;16.37
190;199.55;211.55;Caykur Rizespor (62850) - Top Kaybı;Top Kaybı;1;48.08;51.63
191;199.55;211.55;Caykur Rizespor (62850) - Top kayıpları / kendi yarı sahasında;Top kayıpları / kendi yarı sahasında;1;48.08;51.63
192;200.55;212.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;57.4;10.32
193;200.55;212.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;57.4;10.32
194;203.55;215.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;41.03;21.89
195;203.55;215.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;41.03;21.89
196;203.55;215.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;41.03;21.89
197;203.55;232.55;Galatasaray (29205) - Set Hücumları;Set Hücumları;1;56.92;16.37
198;209.55;221.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;48.8;39.11
199;209.55;221.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;48.8;39.11
200;211.55;223.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;49.39;16.63
201;211.55;223.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;49.39;16.63
202;211.55;223.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;49.39;16.63
203;211.55;223.55;Galatasaray (29205) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;49.39;16.63
204;214.55;226.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;66.84;5.85
205;214.55;226.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;66.84;5.85
206;217.55;229.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;61.58;15.84
207;217.55;229.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;61.58;15.84
208;223.55;235.55;Galatasaray (29205) - Başarısız İleri Paslar;Başarısız İleri Paslar;1;64.57;47.0
209;223.55;235.55;Galatasaray (29205) - Başarısız İlerletici Paslar;Başarısız İlerletici Paslar;1;64.57;47.0
210;223.55;235.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;64.57;47.0
211;223.55;235.55;Galatasaray (29205) - Top Kaybı;Top Kaybı;1;87.75;23.34
212;223.55;235.55;Galatasaray (29205) - İsabetsiz paslar;İsabetsiz paslar;1;64.57;47.0
213;224.55;236.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;15.1;38.75
214;224.55;236.55;Caykur Rizespor (62850) - Geri Kazanılan Toplar;Geri Kazanılan Toplar;1;15.1;38.75
215;224.55;236.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;15.1;38.75
