ID;start;end;code;team;action;half;pos_x;pos_y
63;2761.55;2773.55;1. Uğurcan Çakır (235597) - Başarısız Uzun Toplar;Galatasaray (29205);Başarısız Uzun Toplar;1;5.42;34.38
64;2761.55;2773.55;1. Uğurcan Çakır (235597) - Kale Vuruşları;Galatasaray (29205);Kale Vuruşları;1;5.42;34.38
65;2761.55;2773.55;1. Uğurcan Çakır (235597) - Uzun Kale Vuruşları (40+ mt);Galatasaray (29205);Uzun Kale Vuruşları (40+ mt);1;5.42;34.38
66;2761.55;2773.55;1. Uğurcan Çakır (235597) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;5.42;34.38
67;2768.55;2780.55;75. Yahia Fofana (470003) - Başarılı Orta Engelleme ve Pas Arası Girişimleri;Caykur Rizespor (62850);Başarılı Orta Engelleme ve Pas Arası Girişimleri;1;13.19;32.3
68;2769.55;2781.55;75. Yahia Fofana (470003) - Sarı Kartlar;Caykur Rizespor (62850);Sarı Kartlar;1;92.29;36.22
69;2769.55;2781.55;75. Yahia Fofana (470003) - Yapılan Fauller;Caykur Rizespor (62850);Yapılan Fauller;1;91.45;35.83
70;2841.55;2841.55;Halftime;;Halftime;1;;
71;2849.27;2849.27;Start of the 2nd half;;Start of the 2nd half;2;;
72;2849.27;2859.27;1. Uğurcan Çakır (235597) - Başarısız Uzun Toplar;Galatasaray (29205);Başarısız Uzun Toplar;2;29.56;31.87
73;2849.27;2859.27;1. Uğurcan Çakır (235597) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;2;29.56;31.87
74;2862.27;2874.27;1. Uğurcan Çakır (235597) - Başarısız Uzun Toplar;Galatasaray (29205);Başarısız Uzun Toplar;2;24.06;46.99
75;2862.27;2874.27;1. Uğurcan Çakır (235597) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;2;24.06;46.99
76;2885.27;2897.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;14.38;23.85
77;2888.27;2900.27;1. Uğurcan Çakır (235597) - Başarısız Uzun Toplar;Galatasaray (29205);Başarısız Uzun Toplar;2;12.71;25.69
78;2888.27;2900.27;1. Uğurcan Çakır (235597) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;2;12.71;25.69
79;2959.27;2971.27;75. Yahia Fofana (470003) - Direkten dönen şutlar;Caykur Rizespor (62850);Direkten dönen şutlar;2;91.33;48.57
80;2968.27;2980.27;75. Yahia Fofana (470003) - Başarılı Orta Engelleme ve Pas Arası Girişimleri;Caykur Rizespor (62850);Başarılı Orta Engelleme ve Pas Arası Girişimleri;2;3.87;37.84
81;2971.27;2983.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;13.91;33.63
82;3061.27;3073.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;13.19;33.45
83;3067.27;3079.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;9.72;29.9
84;3154.27;3166.27;75. Yahia Fofana (470003) - İsabetsiz Şutlar;Caykur Rizespor (62850);İsabetsiz Şutlar;2;87.63;42.78
85;3216.27;3228.27;75. Yahia Fofana (470003) - İsabetsiz Şutlar;Caykur Rizespor (62850);İsabetsiz Şutlar;2;86.43;34.5
86;3326.27;3338.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;15.82;25.69
87;3369.27;3381.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;15.58;32.32
88;3496.27;3508.27;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;2;4.23;26.14
89;3496.27;3508.27;75. Yahia Fofana (470003) - Uzun paslar;Caykur Rizespor (62850);Uzun paslar;2;4.23;26.14
90;3574.27;3586.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;20.24;32.26
91;3578.27;3590.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;15.46;28.97
92;3676.27;3688.27;75. Yahia Fofana (470003) - Başarılı Orta Engelleme ve Pas Arası Girişimleri;Caykur Rizespor (62850);Başarılı Orta Engelleme ve Pas Arası Girişimleri;2;11.04;23.77
93;3676.27;3688.27;75. Yahia Fofana (470003) - İsabetsiz Şutlar;Caykur Rizespor (62850);İsabetsiz Şutlar;2;94.08;46.07
94;3783.27;3795.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;14.5;34.23
95;3789.27;3801.27;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;2;13.55;23.45
96;3789.27;3801.27;1. Uğurcan Çakır (235597) - Uzun paslar;Galatasaray (29205);Uzun paslar;2;13.55;23.45
