id,team,action,start,end,half,pos_x,pos_y
3107,Caykur Rizespor (62850),Faul,4806.27,4818.27,2,47.0,42.71
3108,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4823.27,4835.27,2,63.85,17.14
3109,Galatasaray (29205),Paslar adresi bulanlar,4823.27,4835.27,2,63.85,17.14
3110,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4824.27,4836.27,2,57.28,24.5
3111,Galatasaray (29205),Paslar adresi bulanlar,4824.27,4836.27,2,57.28,24.5
3112,Galatasaray (29205),Set Hücumları,4827.27,4846.27,2,63.85,17.14
3113,Galatasaray (29205),Başarılı İleri Paslar,4829.27,4841.27,2,48.68,18.59
3114,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4829.27,4841.27,2,48.68,18.59
3115,Galatasaray (29205),Paslar adresi bulanlar,4829.27,4841.27,2,48.68,18.59
3116,Galatasaray (29205),İsabetli İlerletici Paslar,4829.27,4841.27,2,48.68,18.59
3117,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4830.27,4842.27,2,66.36,20.95
3118,Galatasaray (29205),Paslar adresi bulanlar,4830.27,4842.27,2,66.36,20.95
3119,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4835.27,4847.27,2,67.32,3.73
3120,Galatasaray (29205),Paslar adresi bulanlar,4835.27,4847.27,2,67.32,3.73
3121,Galatasaray (29205),Başarısız İleri Paslar,4837.27,4849.27,2,62.78,16.75
3122,Galatasaray (29205),Başarısız İlerletici Paslar,4837.27,4849.27,2,62.78,16.75
3123,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4837.27,4849.27,2,62.78,16.75
3124,Galatasaray (29205),Top Kaybı,4837.27,4849.27,2,74.13,20.69
3125,Galatasaray (29205),İsabetsiz paslar,4837.27,4849.27,2,62.78,16.75
3126,Caykur Rizespor (62850),Başarılı İleri Paslar,4838.27,4850.27,2,30.87,47.31
3127,Caykur Rizespor (62850),Geri Kazanılan Toplar,4838.27,4850.27,2,30.87,47.31
3128,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),4838.27,4850.27,2,30.87,47.31
3129,Caykur Rizespor (62850),Paslar adresi bulanlar,4838.27,4850.27,2,30.87,47.31
3130,Caykur Rizespor (62850),Başarılı İleri Paslar,4840.27,4852.27,2,35.65,45.99
3131,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4840.27,4852.27,2,35.65,45.99
3132,Caykur Rizespor (62850),Paslar adresi bulanlar,4840.27,4852.27,2,35.65,45.99
3133,Caykur Rizespor (62850),Top Taşıma,4842.27,4854.27,2,50.11,64.67
3134,Caykur Rizespor (62850),Kontra Ataklar,4842.27,4855.27,2,30.87,47.31
3135,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4845.27,4857.27,2,67.32,64.4
3136,Caykur Rizespor (62850),Top Kaybı,4845.27,4857.27,2,75.08,48.23
3137,Caykur Rizespor (62850),İsabetsiz paslar,4845.27,4857.27,2,67.32,64.4
3138,Galatasaray (29205),Geri Kazanılan Toplar,4847.27,4859.27,2,29.92,19.77
3139,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4847.27,4859.27,2,29.92,19.77
3140,Galatasaray (29205),Paslar adresi bulanlar,4847.27,4859.27,2,29.92,19.77
3141,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4848.27,4860.27,2,36.61,6.21
3142,Galatasaray (29205),Paslar adresi bulanlar,4848.27,4860.27,2,36.61,6.21
3143,Galatasaray (29205),Kontra Ataklar,4851.27,4862.27,2,29.92,19.77
3144,Galatasaray (29205),Başarılı İleri Paslar,4851.27,4863.27,2,31.83,11.86
3145,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4851.27,4863.27,2,31.83,11.86
3146,Galatasaray (29205),Paslar adresi bulanlar,4851.27,4863.27,2,31.83,11.86
3147,Galatasaray (29205),Başarılı İkili Mücadeleler,4853.27,4865.27,2,40.19,1.87
3148,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,4853.27,4865.27,2,40.19,1.87
3149,Caykur Rizespor (62850),Faul,4854.27,4866.27,2,64.33,65.6
3150,Galatasaray (29205),Yapılan Fauller,4854.27,4866.27,2,64.33,65.6
3151,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4867.27,4879.27,2,44.61,3.71
3152,Galatasaray (29205),Paslar adresi bulanlar,4867.27,4879.27,2,44.61,3.71
3153,Galatasaray (29205),Başarılı İleri Paslar,4869.27,4881.27,2,35.17,17.26
3154,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4869.27,4881.27,2,35.17,17.26
3155,Galatasaray (29205),Paslar adresi bulanlar,4869.27,4881.27,2,35.17,17.26
3156,Galatasaray (29205),Set Hücumları,4871.27,4909.27,2,44.61,3.71
3157,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4873.27,4885.27,2,43.3,24.09
3158,Galatasaray (29205),Paslar adresi bulanlar,4873.27,4885.27,2,43.3,24.09
3159,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4874.27,4886.27,2,49.51,36.32
3160,Galatasaray (29205),Paslar adresi bulanlar,4874.27,4886.27,2,49.51,36.32
3161,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4876.27,4888.27,2,42.22,24.49
3162,Galatasaray (29205),Paslar adresi bulanlar,4876.27,4888.27,2,42.22,24.49
3163,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4877.27,4889.27,2,44.02,13.31
3164,Galatasaray (29205),Paslar adresi bulanlar,4877.27,4889.27,2,44.02,13.31
3165,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4878.27,4890.27,2,47.36,20.94
3166,Galatasaray (29205),Paslar adresi bulanlar,4878.27,4890.27,2,47.36,20.94
3167,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),4880.27,4892.27,2,44.73,19.62
3168,Galatasaray (29205),Paslar adresi bulanlar,4880.27,4892.27,2,44.73,19.62
3169,Galatasaray (29205),Paslar adresi bulanlar,4884.27,4896.27,2,44.61,39.87
3170,Galatasaray (29205),Uzun Kale Vuruşları (40+ mt),4884.27,4896.27,2,44.61,39.87
3171,Galatasaray (29205),Uzun paslar,4884.27,4896.27,2,44.61,39.87
3172,Galatasaray (29205),Başarılı İleri Paslar,4890.27,4902.27,2,64.81,3.32
3173,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),4890.27,4902.27,2,64.81,3.32
