ID;start;end;code;team;action;half;pos_x;pos_y
943;1678.55;1693.55;8. Gabriel Sara (533884) - Şutla Biten Duran Toplarda Yer Alma;Galatasaray (29205);Şutla Biten Duran Toplarda Yer Alma;1;75.68;68.0
944;1678.55;1693.55;45. Victor Osimhen (1093704) - Şutla Biten Duran Toplarda Yer Alma;Galatasaray (29205);Şutla Biten Duran Toplarda Yer Alma;1;75.68;68.0
945;1679.55;1691.55;3. Samet Akaydin (26800) - Başarısız İleri Paslar;Caykur Rizespor (62850);Başarısız İleri Paslar;1;3.75;30.86
946;1679.55;1691.55;3. Samet Akaydin (26800) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;3.75;30.86
947;1682.55;1694.55;45. Victor Osimhen (1093704) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;94.56;25.04
948;1700.55;1712.55;77. Noa Lang (815422) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;105.0;68.0
949;1702.55;1714.55;8. Gabriel Sara (533884) - Ceza sahasına / İsabetli;Galatasaray (29205);Ceza sahasına / İsabetli;1;100.3;66.86
950;1702.55;1714.55;8. Gabriel Sara (533884) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;100.3;66.86
951;1702.55;1714.55;8. Gabriel Sara (533884) - İsabetli Ortalar;Galatasaray (29205);İsabetli Ortalar;1;100.3;66.86
952;1704.55;1713.55;8. Gabriel Sara (533884) - Duran Top Hücumu Oyunu;Galatasaray (29205);Duran Top Hücumu Oyunu;1;105.0;68.0
953;1704.55;1713.55;34. Lucas Torreira (1469956) - Duran Top Hücumu Oyunu;Galatasaray (29205);Duran Top Hücumu Oyunu;1;105.0;68.0
954;1704.55;1713.55;77. Noa Lang (815422) - Duran Top Hücumu Oyunu;Galatasaray (29205);Duran Top Hücumu Oyunu;1;105.0;68.0
955;1704.55;1716.55;34. Lucas Torreira (1469956) - Top Kaybı;Galatasaray (29205);Top Kaybı;1;99.34;30.57
956;1704.55;1716.55;34. Lucas Torreira (1469956) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;93.84;40.56
957;1728.55;1740.55;6. Davinson Sánchez (1647732) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;46.41;22.15
958;1728.55;1740.55;6. Davinson Sánchez (1647732) - Geri Kazanılan Toplar;Galatasaray (29205);Geri Kazanılan Toplar;1;46.41;22.15
959;1728.55;1740.55;6. Davinson Sánchez (1647732) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;46.41;22.15
960;1731.55;1743.55;53. Barış Alper Yılmaz (1589859) - Başarılı hava topu mücadeleleri;Galatasaray (29205);Başarılı hava topu mücadeleleri;1;57.16;27.94
961;1731.55;1743.55;53. Barış Alper Yılmaz (1589859) - Başarılı İkili Mücadeleler;Galatasaray (29205);Başarılı İkili Mücadeleler;1;57.16;27.94
962;1731.55;1743.55;7. Valentin Mihăilă (967060) - Başarısız İkili Mücadeleler;Caykur Rizespor (62850);Başarısız İkili Mücadeleler;1;57.16;27.94
963;1731.55;1743.55;7. Valentin Mihăilă (967060) - Kaybedilen hava topu mücadeleleri;Caykur Rizespor (62850);Kaybedilen hava topu mücadeleleri;1;57.16;27.94
964;1732.55;1744.55;8. Gabriel Sara (533884) - Başarılı driplingler;Galatasaray (29205);Başarılı driplingler;1;58.71;29.52
965;1732.55;1744.55;8. Gabriel Sara (533884) - Başarılı İkili Mücadeleler;Galatasaray (29205);Başarılı İkili Mücadeleler;1;58.71;29.52
966;1732.55;1744.55;20. Qazim Laçi (808862) - Başarısız Top Kapma;Caykur Rizespor (62850);Başarısız Top Kapma;1;58.71;29.52
967;1732.55;1744.55;20. Qazim Laçi (808862) - Başarısız İkili Mücadeleler;Caykur Rizespor (62850);Başarısız İkili Mücadeleler;1;58.71;29.52
968;1732.55;1745.55;6. Davinson Sánchez (1647732) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;46.41;22.15
969;1732.55;1745.55;8. Gabriel Sara (533884) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;46.41;22.15
970;1732.55;1745.55;53. Barış Alper Yılmaz (1589859) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;46.41;22.15
971;1732.55;1745.55;77. Noa Lang (815422) - Set Hücumu Oyunu;Galatasaray (29205);Set Hücumu Oyunu;1;46.41;22.15
972;1733.55;1745.55;8. Gabriel Sara (533884) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;60.63;30.44
973;1733.55;1745.55;8. Gabriel Sara (533884) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;60.63;30.44
974;1733.55;1745.55;8. Gabriel Sara (533884) - İsabetli İlerletici Paslar;Galatasaray (29205);İsabetli İlerletici Paslar;1;60.63;30.44
975;1734.55;1746.55;77. Noa Lang (815422) - Başarısız İleri Paslar;Galatasaray (29205);Başarısız İleri Paslar;1;75.08;34.12
976;1734.55;1746.55;77. Noa Lang (815422) - Başarısız İlerletici Paslar;Galatasaray (29205);Başarısız İlerletici Paslar;1;75.08;34.12
977;1734.55;1746.55;77. Noa Lang (815422) - Top Kaybı;Galatasaray (29205);Top Kaybı;1;85.24;20.84
978;1734.55;1746.55;77. Noa Lang (815422) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;75.08;34.12
979;1737.55;1749.55;5. Casper Højer (628857) - Geri Kazanılan Toplar;Caykur Rizespor (62850);Geri Kazanılan Toplar;1;19.76;47.16
980;1737.55;1749.55;5. Casper Højer (628857) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;19.76;47.16
981;1745.55;1757.55;42. Abdülkerim Bardakcı (126526) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;41.27;25.97
